ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000027471		Interleukin-6  	Source:UniProtKB/Swiss-Prot;Acc:Q9MZR1	7.273307142	-0.122123453	30.14435273	4.01E-08	1.34E-05
ENSOCUG00000022836	ACOD1	aconitate decarboxylase 1 	Source:HGNC Symbol;Acc:HGNC:33904	5.317595315	4.700253657	30.05564928	4.20E-08	1.38E-05
ENSOCUG00000024378	IFI44L	interferon induced protein 44 like 	Source:HGNC Symbol;Acc:HGNC:17817	3.666893351	5.387754258	29.95667463	4.42E-08	1.43E-05
ENSOCUG00000008098	CMTR1	cap methyltransferase 1 	Source:HGNC Symbol;Acc:HGNC:21077	1.526223456	4.512521333	29.93330832	4.47E-08	1.43E-05
ENSOCUG00000005277	NOD1	nucleotide binding oligomerization domain containing 1 	Source:HGNC Symbol;Acc:HGNC:16390	1.408061488	4.641123586	29.20344366	6.52E-08	2.06E-05
ENSOCUG00000012702	SIGLEC1	sialic acid binding Ig like lectin 1 	Source:HGNC Symbol;Acc:HGNC:11127	1.898278968	6.460820155	28.68975608	8.50E-08	2.65E-05
ENSOCUG00000006073	RBMS2	RNA binding motif single stranded interacting protein 2 	Source:HGNC Symbol;Acc:HGNC:9909	1.451668478	2.525789307	28.51586735	9.29E-08	2.83E-05
ENSOCUG00000004501				3.602072641	7.038313436	28.50852403	9.33E-08	2.83E-05
ENSOCUG00000029399	SH2D1B	SH2 domain containing 1B 	Source:HGNC Symbol;Acc:HGNC:30416	1.847894804	3.89354407	28.29411511	1.04E-07	3.12E-05
ENSOCUG00000002455	STAT1	signal transducer and activator of transcription 1 	Source:HGNC Symbol;Acc:HGNC:11362	2.689800764	8.055912931	28.20574618	1.09E-07	3.23E-05
ENSOCUG00000017424	ATF3	activating transcription factor 3 	Source:HGNC Symbol;Acc:HGNC:785	2.497087558	4.229528262	28.12791347	1.14E-07	3.29E-05
ENSOCUG00000015849				3.937096258	3.067969667	28.12062077	1.14E-07	3.29E-05
ENSOCUG00000024425				2.774260546	1.74823052	28.06581222	1.17E-07	3.32E-05
ENSOCUG00000004398	DCSTAMP	dendrocyte expressed seven transmembrane protein 	Source:HGNC Symbol;Acc:HGNC:18549	3.150060213	-0.891730366	28.03973576	1.19E-07	3.32E-05
ENSOCUG00000005438				5.020138237	6.994202831	28.03165472	1.19E-07	3.32E-05
ENSOCUG00000021426	SMAGP	small cell adhesion glycoprotein 	Source:HGNC Symbol;Acc:HGNC:26918	2.610239041	-0.2128879	27.96246793	1.24E-07	3.40E-05
ENSOCUG00000027849	OAS3	2'-5'-oligoadenylate synthetase 3 	Source:HGNC Symbol;Acc:HGNC:8088	3.542046212	5.06104384	27.60606236	1.49E-07	4.01E-05
ENSOCUG00000021924	MX1	MX dynamin like GTPase 1 	Source:HGNC Symbol;Acc:HGNC:7532	3.906257234	9.757668158	27.60019955	1.49E-07	4.01E-05
ENSOCUG00000021836	SOCS1	suppressor of cytokine signaling 1 	Source:HGNC Symbol;Acc:HGNC:19383	4.191697917	0.814577911	27.00508262	2.03E-07	5.34E-05
ENSOCUG00000015927	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 	Source:HGNC Symbol;Acc:HGNC:18696	3.776300714	-0.895877789	27.00261787	2.03E-07	5.34E-05
ENSOCUG00000014263	BATF2	basic leucine zipper ATF-like transcription factor 2 	Source:HGNC Symbol;Acc:HGNC:25163	2.576320593	2.840585631	26.51726161	2.61E-07	6.79E-05
ENSOCUG00000011244	ESPL1	"extra spindle pole bodies like 1, separase "	Source:HGNC Symbol;Acc:HGNC:16856	2.595943133	1.334295014	26.29076164	2.94E-07	7.56E-05
ENSOCUG00000001222				-8.509633262	3.940521991	26.25715135	2.99E-07	7.61E-05
ENSOCUG00000023473				4.625658212	1.153154531	25.83289753	3.72E-07	9.37E-05
ENSOCUG00000015823	OAS2	2'-5'-oligoadenylate synthetase 2 	Source:HGNC Symbol;Acc:HGNC:8087	3.170464014	7.714443732	25.61505418	4.17E-07	0.000103838
ENSOCUG00000002139	PSMB9	proteasome subunit beta 9 	Source:HGNC Symbol;Acc:HGNC:9546	3.484255416	3.929078203	25.59437498	4.21E-07	0.000103864
ENSOCUG00000012699	FYB	FYN binding protein 	Source:HGNC Symbol;Acc:HGNC:4036	1.18517612	4.972773344	25.4338008	4.58E-07	0.000111714
ENSOCUG00000029644	ICAM1	intercellular adhesion molecule 1 	Source:HGNC Symbol;Acc:HGNC:5344	1.619208286	5.121316652	25.25897617	5.01E-07	0.000121064
ENSOCUG00000003874	IFI35	interferon induced protein 35 	Source:HGNC Symbol;Acc:HGNC:5399	1.939409583	5.261179485	25.1870187	5.20E-07	0.000124397
ENSOCUG00000011016				1.963549424	5.923387863	25.07659852	5.51E-07	0.00013041
ENSOCUG00000027827	CXCL16	C-X-C motif chemokine ligand 16 	Source:HGNC Symbol;Acc:HGNC:16642	1.557455159	3.043000781	24.95653806	5.86E-07	0.000137415
ENSOCUG00000004728	C19orf66	chromosome 19 open reading frame 66 	Source:HGNC Symbol;Acc:HGNC:25649	1.159420459	5.231375946	24.88871474	6.07E-07	0.000140939
ENSOCUG00000010165	MEIG1	meiosis/spermiogenesis associated 1 	Source:HGNC Symbol;Acc:HGNC:23429	1.854315151	0.100237508	24.51171499	7.39E-07	0.000169726
ENSOCUG00000012683	ADAM33	ADAM metallopeptidase domain 33 	Source:HGNC Symbol;Acc:HGNC:15478	2.646719546	0.653452065	24.30502651	8.22E-07	0.000187131
ENSOCUG00000027480				5.481709542	0.065233522	24.17377733	8.80E-07	0.000198168
ENSOCUG00000005112	FBXO32	F-box protein 32 	Source:HGNC Symbol;Acc:HGNC:16731	2.163680621	2.981267515	24.15796534	8.87E-07	0.000198168
ENSOCUG00000008544	ADAR	"adenosine deaminase, RNA specific "	Source:HGNC Symbol;Acc:HGNC:225	1.412681819	7.144577734	24.1004438	9.14E-07	0.000202269
ENSOCUG00000017438	SELE	selectin E 	Source:HGNC Symbol;Acc:HGNC:10718	3.239398777	-0.208472417	23.927557	1.00E-06	0.000219222
ENSOCUG00000008089	NCOA7	nuclear receptor coactivator 7 	Source:HGNC Symbol;Acc:HGNC:21081	1.692234027	3.285624426	23.87636309	1.03E-06	0.000223065
ENSOCUG00000025029	CSF1	colony stimulating factor 1 	Source:HGNC Symbol;Acc:HGNC:2432	1.862732463	4.059276972	23.69494241	1.13E-06	0.000242884
ENSOCUG00000016416				1.911485559	3.008670003	23.58171841	1.20E-06	0.000255283
ENSOCUG00000011635	ACAD9	acyl-CoA dehydrogenase family member 9 	Source:HGNC Symbol;Acc:HGNC:21497	-0.948720679	3.937117978	23.5608804	1.21E-06	0.000255759
ENSOCUG00000016813	OLR1	oxidized low density lipoprotein receptor 1 	Source:HGNC Symbol;Acc:HGNC:8133	2.862900648	-0.110599453	23.52404092	1.23E-06	0.000258396
ENSOCUG00000006386	ATP10A	ATPase phospholipid transporting 10A (putative) 	Source:HGNC Symbol;Acc:HGNC:13542	3.136398147	3.358953916	23.33504886	1.36E-06	0.000282569
ENSOCUG00000002318	NUAK2	NUAK family kinase 2 	Source:HGNC Symbol;Acc:HGNC:29558	1.449386672	3.686180752	23.20292484	1.46E-06	0.000300031
ENSOCUG00000029328	OASL	2'-5'-oligoadenylate synthetase like 	Source:HGNC Symbol;Acc:HGNC:8090	4.278857746	6.495087399	23.0918581	1.54E-06	0.000315131
ENSOCUG00000011609				1.619170182	3.69440182	23.06333456	1.57E-06	0.000317107
ENSOCUG00000016338	C14orf1	chromosome 14 open reading frame 1 	Source:HGNC Symbol;Acc:HGNC:1187	1.483417224	4.251017962	23.01808364	1.60E-06	0.000321908
ENSOCUG00000000418	P2RY13	purinergic receptor P2Y13 	Source:HGNC Symbol;Acc:HGNC:4537	1.776635747	1.788396207	22.9419638	1.67E-06	0.000332095
ENSOCUG00000000276	MOV10	Mov10 RISC complex RNA helicase 	Source:HGNC Symbol;Acc:HGNC:7200	1.659463007	5.580565383	22.89497449	1.71E-06	0.000335414
ENSOCUG00000015042	FAM111A	family with sequence similarity 111 member A 	Source:HGNC Symbol;Acc:HGNC:24725	1.509905644	3.605310879	22.87872507	1.73E-06	0.000335414
ENSOCUG00000024468	GTPBP1	GTP binding protein 1 	Source:HGNC Symbol;Acc:HGNC:4669	0.977550219	3.859352265	22.87499366	1.73E-06	0.000335414
ENSOCUG00000005529	GTPBP2	GTP binding protein 2 	Source:HGNC Symbol;Acc:HGNC:4670	1.330097794	5.004027152	22.7359233	1.86E-06	0.000357653
ENSOCUG00000009929	C3orf52	chromosome 3 open reading frame 52 	Source:HGNC Symbol;Acc:HGNC:26255	2.477177546	1.714104011	22.55117436	2.05E-06	0.000390576
ENSOCUG00000027815				2.502144993	2.024355268	22.39768905	2.22E-06	0.000419681
ENSOCUG00000022536	SPP1	secreted phosphoprotein 1 	Source:HGNC Symbol;Acc:HGNC:11255	3.311191632	1.078379049	22.32688531	2.30E-06	0.000431986
ENSOCUG00000010218	CMTR2	cap methyltransferase 2 	Source:HGNC Symbol;Acc:HGNC:25635	1.756765946	3.033618137	22.26633044	2.37E-06	0.000439845
ENSOCUG00000026185	RBM43	RNA binding motif protein 43 	Source:HGNC Symbol;Acc:HGNC:24790	1.812090451	2.073267064	22.26202336	2.38E-06	0.000439845
ENSOCUG00000005373				0.888764608	4.362282432	22.22627505	2.42E-06	0.000444637
ENSOCUG00000014848	TNFSF10	tumor necrosis factor superfamily member 10 	Source:HGNC Symbol;Acc:HGNC:11925	1.111867365	9.277138382	22.14817978	2.52E-06	0.000459534
ENSOCUG00000026340	MORC3	MORC family CW-type zinc finger 3 	Source:HGNC Symbol;Acc:HGNC:23572	0.973031737	4.004523111	22.04157488	2.67E-06	0.000482067
ENSOCUG00000004287				-6.27932799	2.310745865	21.98634993	2.75E-06	0.000492381
ENSOCUG00000011549	SPATS2L	spermatogenesis associated serine rich 2 like 	Source:HGNC Symbol;Acc:HGNC:24574	0.856688854	4.945620411	21.88861559	2.89E-06	0.00051421
ENSOCUG00000021867	UBE2L6	ubiquitin conjugating enzyme E2 L6 	Source:HGNC Symbol;Acc:HGNC:12490	1.872664792	5.145851161	21.83777985	2.97E-06	0.000521077
ENSOCUG00000000161	SH3BP2	SH3 domain binding protein 2 	Source:HGNC Symbol;Acc:HGNC:10825	1.337898621	3.882917784	21.83451917	2.97E-06	0.000521077
ENSOCUG00000008823	P2RX7	purinergic receptor P2X 7 	Source:HGNC Symbol;Acc:HGNC:8537	1.379244894	0.803962864	21.4218438	3.69E-06	0.00064141
ENSOCUG00000029209				-7.713289276	5.338590309	21.15272593	4.24E-06	0.000732106
ENSOCUG00000026024	FBXL14	F-box and leucine rich repeat protein 14 	Source:HGNC Symbol;Acc:HGNC:28624	0.83033028	2.498731787	21.14033707	4.27E-06	0.000732106
ENSOCUG00000026537	MS4A18	membrane spanning 4-domains A18 	Source:HGNC Symbol;Acc:HGNC:37636	7.720072428	-0.819714646	21.09527742	4.37E-06	0.000744133
ENSOCUG00000016930	SP100	SP100 nuclear antigen 	Source:HGNC Symbol;Acc:HGNC:11206	1.63464387	5.449636298	21.02290566	4.54E-06	0.000764932
ENSOCUG00000005073				3.599185631	6.457963708	21.01508221	4.56E-06	0.000764932
ENSOCUG00000000543	RNF144B	ring finger protein 144B 	Source:HGNC Symbol;Acc:HGNC:21578	1.122163014	3.768313546	20.84400738	4.98E-06	0.000830496
ENSOCUG00000001001	NMI	N-myc and STAT interactor 	Source:HGNC Symbol;Acc:HGNC:7854	1.404673328	4.717770467	20.78092268	5.15E-06	0.000852305
ENSOCUG00000012892				1.739636379	5.200404215	20.74842865	5.24E-06	0.00086087
ENSOCUG00000002131	PSMB8	proteasome subunit beta 8 	Source:HGNC Symbol;Acc:HGNC:9545	2.210602055	4.335041573	20.70608246	5.35E-06	0.00087405
ENSOCUG00000010563	TAPBP	TAP binding protein 	Source:HGNC Symbol;Acc:HGNC:11566	1.287574906	4.156497733	20.47650848	6.04E-06	0.000978659
ENSOCUG00000003467	PSCA	prostate stem cell antigen 	Source:HGNC Symbol;Acc:HGNC:9500	2.74568312	1.73603558	20.40036508	6.28E-06	0.001011452
ENSOCUG00000002339	IRF7	interferon regulatory factor 7 	Source:HGNC Symbol;Acc:HGNC:6122	3.069380534	6.673557743	20.36559537	6.40E-06	0.001023038
ENSOCUG00000002233	HSH2D	hematopoietic SH2 domain containing 	Source:HGNC Symbol;Acc:HGNC:24920	2.245937768	-0.634502777	20.21126912	6.93E-06	0.001101534
ENSOCUG00000007494	RNASE6	ribonuclease A family member k6 	Source:HGNC Symbol;Acc:HGNC:10048	1.691781318	3.220481985	19.88989901	8.20E-06	0.00129442
ENSOCUG00000013904	CISH	cytokine inducible SH2 containing protein 	Source:HGNC Symbol;Acc:HGNC:1984	1.685558828	4.825225333	19.85414431	8.36E-06	0.001310124
ENSOCUG00000025279	C9orf152	chromosome 9 open reading frame 152 	Source:HGNC Symbol;Acc:HGNC:31455	0.983209098	5.966962646	19.73960814	8.87E-06	0.001381879
ENSOCUG00000009055	CD69	CD69 molecule 	Source:HGNC Symbol;Acc:HGNC:1694	2.546085116	-0.295071204	19.6982036	9.07E-06	0.001402915
ENSOCUG00000002147	KHNYN	KH and NYN domain containing 	Source:HGNC Symbol;Acc:HGNC:20166	1.16772036	4.843242796	19.42700987	1.05E-05	0.001606394
ENSOCUG00000026628	BCL3	B-cell CLL/lymphoma 3 	Source:HGNC Symbol;Acc:HGNC:998	2.143664146	2.911216451	19.33933708	1.09E-05	0.00167101
ENSOCUG00000005091	SERPINB9	serpin family B member 9 	Source:HGNC Symbol;Acc:HGNC:8955	1.563640274	3.121510067	19.31648542	1.11E-05	0.001677535
ENSOCUG00000015922	RNASEL	ribonuclease L 	Source:HGNC Symbol;Acc:HGNC:10050	1.935561699	1.819379861	19.30741441	1.11E-05	0.001677535
ENSOCUG00000023172				2.5033269	1.751547092	19.03552171	1.28E-05	0.001922096
ENSOCUG00000024570	IFIT5	interferon induced protein with tetratricopeptide repeats 5 	Source:HGNC Symbol;Acc:HGNC:13328	2.182794231	6.636151934	18.90422374	1.37E-05	0.002046074
ENSOCUG00000012283	CYP7A1	cytochrome P450 family 7 subfamily A member 1 	Source:HGNC Symbol;Acc:HGNC:2651	-3.119326473	7.331763731	18.78822352	1.46E-05	0.002160776
ENSOCUG00000007482	CX3CL1	C-X3-C motif chemokine ligand 1 	Source:HGNC Symbol;Acc:HGNC:10647	2.176071432	1.026894484	18.72619803	1.51E-05	0.002218345
ENSOCUG00000029253				2.934352334	0.350828029	18.71056454	1.52E-05	0.0022228
ENSOCUG00000009840	SLC46A2	solute carrier family 46 member 2 	Source:HGNC Symbol;Acc:HGNC:16055	2.713537972	2.376703276	18.48955907	1.71E-05	0.002480709
ENSOCUG00000003841	RNF182	ring finger protein 182 	Source:HGNC Symbol;Acc:HGNC:28522	-1.999409114	-1.542841271	18.45412582	1.74E-05	0.002511853
ENSOCUG00000007393				-6.75904103	1.136025964	18.42669922	1.77E-05	0.002532821
ENSOCUG00000024795	MNDA	myeloid cell nuclear differentiation antigen 	Source:HGNC Symbol;Acc:HGNC:7183	1.280685095	4.824812076	18.40409348	1.79E-05	0.002547608
ENSOCUG00000002661				2.719773806	3.270233551	18.17417326	2.02E-05	0.002857205
ENSOCUG00000012094	TRAM2	translocation associated membrane protein 2 	Source:HGNC Symbol;Acc:HGNC:16855	1.670621795	4.102640519	18.09384148	2.10E-05	0.002962576
ENSOCUG00000013236	TTC25	tetratricopeptide repeat domain 25 	Source:HGNC Symbol;Acc:HGNC:25280	2.557676142	-1.188020987	17.97435864	2.24E-05	0.003135803
ENSOCUG00000029588	CXCL9	C-X-C motif chemokine ligand 9 	Source:HGNC Symbol;Acc:HGNC:7098	2.6610004	5.126023503	17.70841561	2.57E-05	0.003574059
ENSOCUG00000025760	MEIS3	Meis homeobox 3 	Source:HGNC Symbol;Acc:HGNC:29537	1.953308602	0.794125911	17.70304555	2.58E-05	0.003574059
ENSOCUG00000011550		T-lymphocyte activation antigen CD86 precursor  	Source:RefSeq peptide;Acc:NP_001075677	1.162565603	2.977650507	17.66629397	2.63E-05	0.003622601
ENSOCUG00000025803				2.338329473	5.533586458	17.57615731	2.76E-05	0.003776472
ENSOCUG00000006355	DDX60	DExD/H-box helicase 60 	Source:HGNC Symbol;Acc:HGNC:25942	2.360305606	6.449521202	17.51373786	2.85E-05	0.003880072
ENSOCUG00000006357	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 	Source:HGNC Symbol;Acc:HGNC:14605	0.988124504	4.167769237	17.34406316	3.12E-05	0.0042181
ENSOCUG00000013695	RNF19B	ring finger protein 19B 	Source:HGNC Symbol;Acc:HGNC:26886	1.058716063	5.613654507	17.30857089	3.18E-05	0.004273202
