ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000022101				5.61600673	-2.226085918	29.12990086	6.77E-08	5.72E-05
ENSOCUG00000017707	P4HTM	"prolyl 4-hydroxylase, transmembrane "	Source:HGNC Symbol;Acc:HGNC:28858	-3.124728472	0.503069033	29.01349147	7.19E-08	5.87E-05
ENSOCUG00000006357	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 	Source:HGNC Symbol;Acc:HGNC:14605	1.252996706	4.167769237	28.64723916	8.68E-08	6.85E-05
ENSOCUG00000007798	SLC46A1	solute carrier family 46 member 1 	Source:HGNC Symbol;Acc:HGNC:30521	1.472337956	5.326000397	28.23011315	1.08E-07	7.99E-05
ENSOCUG00000004939	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 	Source:HGNC Symbol;Acc:HGNC:815	1.101324683	4.345204711	28.22436765	1.08E-07	7.99E-05
ENSOCUG00000002572	LRRC3	leucine rich repeat containing 3 	Source:HGNC Symbol;Acc:HGNC:14965	-2.090619282	4.621836102	27.96474555	1.24E-07	8.86E-05
ENSOCUG00000022541				-1.803116404	3.648404402	27.77963807	1.36E-07	9.46E-05
ENSOCUG00000029293	ARL6	ADP ribosylation factor like GTPase 6 	Source:HGNC Symbol;Acc:HGNC:13210	-1.483765495	2.280116646	27.56526933	1.52E-07	0.000102711
ENSOCUG00000015163	NYNRIN	NYN domain and retroviral integrase containing 	Source:HGNC Symbol;Acc:HGNC:20165	1.465377483	4.760311908	27.31961759	1.72E-07	0.000110702
ENSOCUG00000028063				2.782837581	3.372880426	27.27690138	1.76E-07	0.000110702
ENSOCUG00000016293	CLEC4G	C-type lectin domain family 4 member G 	Source:HGNC Symbol;Acc:HGNC:24591	-1.807181544	4.130127112	27.26134227	1.78E-07	0.000110702
ENSOCUG00000010845	COL4A6	collagen type IV alpha 6 chain 	Source:HGNC Symbol;Acc:HGNC:2208	2.539111716	-0.079887589	26.7640256	2.30E-07	0.00013789
ENSOCUG00000027549				2.448033296	1.738362096	26.6936834	2.38E-07	0.00013789
ENSOCUG00000004091				1.426598306	2.859565999	26.6899918	2.39E-07	0.00013789
ENSOCUG00000005293	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 	Source:HGNC Symbol;Acc:HGNC:24595	-1.69751305	0.806046642	26.13112567	3.19E-07	0.000179772
ENSOCUG00000026373				2.54401426	2.435888937	25.92499907	3.55E-07	0.000195375
ENSOCUG00000027796				-5.712611274	-1.20629472	25.81272166	3.76E-07	0.00020237
ENSOCUG00000002950	HN1	hematological and neurological expressed 1 	Source:HGNC Symbol;Acc:HGNC:14569	-1.222508949	3.076969808	25.67030478	4.05E-07	0.000213027
ENSOCUG00000025487				0.928799272	3.695082889	25.50087525	4.42E-07	0.000227522
ENSOCUG00000014764				-1.177428622	5.429875866	25.06005141	5.56E-07	0.00027986
ENSOCUG00000023075				1.844293875	3.013504027	25.00818237	5.71E-07	0.000281501
ENSOCUG00000015790	KIF20A	kinesin family member 20A 	Source:HGNC Symbol;Acc:HGNC:9787	-2.848861145	2.11275039	24.55658029	7.22E-07	0.00034856
ENSOCUG00000004639	SLC39A9	solute carrier family 39 member 9 	Source:HGNC Symbol;Acc:HGNC:20182	0.819335142	5.8309646	24.2935101	8.27E-07	0.000389583
ENSOCUG00000013740	PGM2	phosphoglucomutase 2 	Source:HGNC Symbol;Acc:HGNC:8906	1.056518753	5.043426465	24.23960409	8.51E-07	0.000389583
ENSOCUG00000010435	SUSD1	sushi domain containing 1 	Source:HGNC Symbol;Acc:HGNC:25413	1.572546498	2.020424185	24.2152567	8.61E-07	0.000389583
ENSOCUG00000022496				1.76494505	10.07009403	24.19106721	8.72E-07	0.000389583
ENSOCUG00000008015				3.888945632	0.356765613	23.90755189	1.01E-06	0.000443024
ENSOCUG00000009384	CD8B	CD8b molecule 	Source:HGNC Symbol;Acc:HGNC:1707	-2.518309247	-0.364224116	23.86169785	1.04E-06	0.000445455
ENSOCUG00000022385				1.580458577	3.334954581	23.74317873	1.10E-06	0.000465285
ENSOCUG00000015554		selenoprotein I  	Source:RefSeq peptide;Acc:NP_001186770	1.436111492	3.754003158	23.70472744	1.12E-06	0.000466347
ENSOCUG00000029515				2.513514963	0.372935154	23.4645857	1.27E-06	0.000519226
ENSOCUG00000025147				1.216701052	6.970123901	23.38481627	1.33E-06	0.000532036
ENSOCUG00000009598	LTBP1	latent transforming growth factor beta binding protein 1 	Source:HGNC Symbol;Acc:HGNC:6714	1.46913226	5.852508195	23.3293305	1.37E-06	0.00053848
ENSOCUG00000029636	TGFA	transforming growth factor alpha 	Source:HGNC Symbol;Acc:HGNC:11765	1.66790194	0.424438396	23.21438006	1.45E-06	0.000562273
ENSOCUG00000001222				-9.607036206	3.940521991	23.11404956	1.53E-06	0.000582834
ENSOCUG00000026155				4.791437903	-2.132896373	22.82010638	1.78E-06	0.000668348
ENSOCUG00000003277	NUSAP1	nucleolar and spindle associated protein 1 	Source:HGNC Symbol;Acc:HGNC:18538	-2.418860892	1.430267421	22.65964738	1.93E-06	0.000715199
ENSOCUG00000015898	SERINC2	serine incorporator 2 	Source:HGNC Symbol;Acc:HGNC:23231	0.938868891	4.458040549	22.39555339	2.22E-06	0.000807976
ENSOCUG00000004340	CCNB1	cyclin B1 	Source:HGNC Symbol;Acc:HGNC:1579	-3.437732908	3.218925159	22.3598418	2.26E-06	0.000810669
ENSOCUG00000008578	DYNLRB2	dynein light chain roadblock-type 2 	Source:HGNC Symbol;Acc:HGNC:15467	-1.528689737	1.802041303	22.2486834	2.40E-06	0.000840707
ENSOCUG00000023661				-3.070665046	4.387117542	22.21486906	2.44E-06	0.000840707
ENSOCUG00000001382	ZNF22	zinc finger protein 22 	Source:HGNC Symbol;Acc:HGNC:13012	-0.843916188	4.098585712	22.20461953	2.45E-06	0.000840707
ENSOCUG00000006493				-3.039811078	3.764954629	22.1740068	2.49E-06	0.000842016
ENSOCUG00000010918	FER	FER tyrosine kinase 	Source:HGNC Symbol;Acc:HGNC:3655	1.49341076	1.95128038	21.9613747	2.78E-06	0.000927402
ENSOCUG00000003263	SLCO5A1	solute carrier organic anion transporter family member 5A1 	Source:HGNC Symbol;Acc:HGNC:19046	2.784610137	0.103309117	21.9328862	2.82E-06	0.000928198
ENSOCUG00000021831				1.332922798	10.3379425	21.84704518	2.95E-06	0.000957365
ENSOCUG00000028221	CENPA	centromere protein A 	Source:HGNC Symbol;Acc:HGNC:1851	-3.584905431	-0.015253374	21.79829323	3.03E-06	0.00096431
ENSOCUG00000027099	RPL34	ribosomal protein L34 	Source:HGNC Symbol;Acc:HGNC:10340	-3.217283525	1.221516321	21.76969247	3.07E-06	0.00096431
ENSOCUG00000019486				2.205036556	0.213907127	21.75590604	3.10E-06	0.00096431
ENSOCUG00000011289	ALCAM	activated leukocyte cell adhesion molecule 	Source:HGNC Symbol;Acc:HGNC:400	0.933115548	4.961012666	21.5620959	3.43E-06	0.00105298
ENSOCUG00000002858	CDK1	cyclin dependent kinase 1 	Source:HGNC Symbol;Acc:HGNC:1722	-3.222480768	3.552820403	21.51270251	3.51E-06	0.0010666
ENSOCUG00000007978	NRP2	neuropilin 2 	Source:HGNC Symbol;Acc:HGNC:8005	1.449584313	5.926469422	21.43699791	3.66E-06	0.001090402
ENSOCUG00000006479	MEGF8	multiple EGF like domains 8 	Source:HGNC Symbol;Acc:HGNC:3233	1.39617839	3.719361962	21.40094559	3.73E-06	0.001090402
ENSOCUG00000024691				-6.989409237	2.262104734	21.39801594	3.73E-06	0.001090402
ENSOCUG00000013022	RNASE4	ribonuclease A family member 4 	Source:HGNC Symbol;Acc:HGNC:10047	-1.098326	8.438439794	21.35119866	3.82E-06	0.001103731
ENSOCUG00000017111				-3.155905684	1.051946988	21.23709814	4.06E-06	0.001157308
ENSOCUG00000011298	FAM83D	family with sequence similarity 83 member D 	Source:HGNC Symbol;Acc:HGNC:16122	-4.0297234	0.10605727	21.20386079	4.13E-06	0.001163534
ENSOCUG00000026777				4.15592204	1.390906631	21.09984463	4.36E-06	0.001213979
ENSOCUG00000013482	CYTL1	cytokine like 1 	Source:HGNC Symbol;Acc:HGNC:24435	-2.230619471	0.872204344	20.89380921	4.85E-06	0.00133609
ENSOCUG00000029182				2.16071344	-0.473195086	20.68811282	5.41E-06	0.001470485
ENSOCUG00000027809				1.92758821	2.228269929	20.6354892	5.56E-06	0.001494285
ENSOCUG00000009050	RELN	reelin 	Source:HGNC Symbol;Acc:HGNC:9957	1.269600479	4.939060997	20.49591996	5.98E-06	0.001586782
ENSOCUG00000006508	PDE4B	phosphodiesterase 4B 	Source:HGNC Symbol;Acc:HGNC:8781	1.776676818	4.798820007	20.47749731	6.03E-06	0.001586782
ENSOCUG00000009882	NCAPH	non-SMC condensin I complex subunit H 	Source:HGNC Symbol;Acc:HGNC:1112	-1.933709264	1.632643286	20.45042196	6.12E-06	0.001591703
ENSOCUG00000010379	FREM1	FRAS1 related extracellular matrix 1 	Source:HGNC Symbol;Acc:HGNC:23399	-2.763010562	1.757208178	20.39208596	6.31E-06	0.001600249
ENSOCUG00000015410	NDC80	"NDC80, kinetochore complex component "	Source:HGNC Symbol;Acc:HGNC:16909	-2.529982861	1.862765041	20.37472287	6.37E-06	0.001600249
ENSOCUG00000004898	CDC6	cell division cycle 6 	Source:HGNC Symbol;Acc:HGNC:1744	-1.801351964	0.886628815	20.36490724	6.40E-06	0.001600249
ENSOCUG00000027465	ICK	intestinal cell kinase 	Source:HGNC Symbol;Acc:HGNC:21219	1.029302454	5.617662465	20.35785157	6.42E-06	0.001600249
ENSOCUG00000022396				-4.983933215	-0.854262211	20.32474162	6.54E-06	0.001602612
ENSOCUG00000001783	TBL2	transducin beta like 2 	Source:HGNC Symbol;Acc:HGNC:11586	0.965328005	2.68396516	20.31516309	6.57E-06	0.001602612
ENSOCUG00000003076	CALCB	calcitonin related polypeptide beta 	Source:HGNC Symbol;Acc:HGNC:1438	6.186775786	-1.137016479	20.17023942	7.08E-06	0.001711091
ENSOCUG00000010987	TMEM26	transmembrane protein 26 	Source:HGNC Symbol;Acc:HGNC:28550	-1.17038937	2.882031382	20.01159777	7.70E-06	0.001840298
ENSOCUG00000027758				1.447440947	2.480147461	19.95310738	7.94E-06	0.001878487
ENSOCUG00000010048	AFMID	arylformamidase 	Source:HGNC Symbol;Acc:HGNC:20910	1.086656083	5.172075381	19.78893072	8.65E-06	0.002026677
ENSOCUG00000029076				1.606277565	3.750591462	19.65934026	9.25E-06	0.002147609
ENSOCUG00000029537				1.734654552	1.562562744	19.60831988	9.51E-06	0.002169137
ENSOCUG00000024762	CKS2	CDC28 protein kinase regulatory subunit 2 	Source:HGNC Symbol;Acc:HGNC:2000	-2.80366581	1.989774136	19.60317987	9.53E-06	0.002169137
ENSOCUG00000003790	LITAF	lipopolysaccharide induced TNF factor 	Source:HGNC Symbol;Acc:HGNC:16841	-1.225864428	5.151005495	19.55499228	9.77E-06	0.002177246
ENSOCUG00000024130				5.372074022	-2.561204147	19.55455138	9.78E-06	0.002177246
ENSOCUG00000022434	CDCA3	cell division cycle associated 3 	Source:HGNC Symbol;Acc:HGNC:14624	-3.024777831	1.913124408	19.54172159	9.84E-06	0.002177246
ENSOCUG00000026713				-2.625581724	2.410960474	19.51621	9.97E-06	0.002186087
ENSOCUG00000009715	NEK2	NIMA related kinase 2 	Source:HGNC Symbol;Acc:HGNC:7745	-3.306329413	1.82534655	19.46056038	1.03E-05	0.002230064
ENSOCUG00000026058	FTCD	formimidoyltransferase cyclodeaminase 	Source:HGNC Symbol;Acc:HGNC:3974	1.141350249	7.548479909	19.42390377	1.05E-05	0.002252611
ENSOCUG00000010464	PSMG4	proteasome assembly chaperone 4 	Source:HGNC Symbol;Acc:HGNC:21108	-1.091267543	3.377033709	19.37664946	1.07E-05	0.002288242
ENSOCUG00000022143				0.781099029	4.85141345	19.20400436	1.17E-05	0.002482429
ENSOCUG00000027079	ASF1B	anti-silencing function 1B histone chaperone 	Source:HGNC Symbol;Acc:HGNC:20996	-2.843767316	-0.154541791	19.14419293	1.21E-05	0.002538777
ENSOCUG00000029216				1.825812978	2.42246422	19.07823845	1.25E-05	0.00260499
ENSOCUG00000006742	ACBD4	acyl-CoA binding domain containing 4 	Source:HGNC Symbol;Acc:HGNC:23337	0.9504199	4.512787093	19.04575124	1.28E-05	0.002611209
ENSOCUG00000000547	SGO2	shugoshin 2 	Source:HGNC Symbol;Acc:HGNC:30812	-2.584754785	1.518969022	19.04049815	1.28E-05	0.002611209
ENSOCUG00000013073	TMEM27	transmembrane protein 27 	Source:HGNC Symbol;Acc:HGNC:29437	-2.249932071	0.0666661	18.99639637	1.31E-05	0.002648903
ENSOCUG00000001652	CCNB2	cyclin B2 	Source:HGNC Symbol;Acc:HGNC:1580	-3.353781757	2.491151864	18.9773715	1.32E-05	0.002648903
ENSOCUG00000009244	THBS4	thrombospondin 4 	Source:HGNC Symbol;Acc:HGNC:11788	3.942874484	0.584415248	18.96443013	1.33E-05	0.002648903
ENSOCUG00000011549	SPATS2L	spermatogenesis associated serine rich 2 like 	Source:HGNC Symbol;Acc:HGNC:24574	-0.873749486	4.945620411	18.86913454	1.40E-05	0.002761377
ENSOCUG00000026263				1.039937188	3.895416002	18.82987422	1.43E-05	0.002788697
ENSOCUG00000012176	UBE2C	ubiquitin conjugating enzyme E2 C 	Source:HGNC Symbol;Acc:HGNC:15937	-3.199669742	1.928214954	18.81385733	1.44E-05	0.002788697
ENSOCUG00000016712	DNER	delta/notch like EGF repeat containing 	Source:HGNC Symbol;Acc:HGNC:24456	3.125250333	0.920779864	18.80325748	1.45E-05	0.002788697
ENSOCUG00000022842				-3.13604162	0.391983743	18.75892402	1.48E-05	0.002812935
ENSOCUG00000014619				-1.029375717	3.186366092	18.75093053	1.49E-05	0.002812935
ENSOCUG00000011340	CDC20	cell division cycle 20 	Source:HGNC Symbol;Acc:HGNC:1723	-3.220616754	2.715769062	18.74079637	1.50E-05	0.002812935
ENSOCUG00000007479	PDE3A	phosphodiesterase 3A 	Source:HGNC Symbol;Acc:HGNC:8778	2.149525591	0.81515717	18.64344544	1.58E-05	0.002936971
ENSOCUG00000008364	PTPN4	"protein tyrosine phosphatase, non-receptor type 4 "	Source:HGNC Symbol;Acc:HGNC:9656	1.765175284	1.122969681	18.5833165	1.63E-05	0.0030074
ENSOCUG00000017336	CLCN5	chloride voltage-gated channel 5 	Source:HGNC Symbol;Acc:HGNC:2023	1.999247385	1.415613382	18.42706545	1.77E-05	0.003239033
ENSOCUG00000016706	KIF11	kinesin family member 11 	Source:HGNC Symbol;Acc:HGNC:6388	-2.598826711	2.825145639	18.40027968	1.79E-05	0.003259616
ENSOCUG00000023951				6.083883996	-1.985748048	18.38062282	1.81E-05	0.003268277
ENSOCUG00000002080	POC1A	POC1 centriolar protein A 	Source:HGNC Symbol;Acc:HGNC:24488	-1.687430808	2.288834535	18.34539458	1.84E-05	0.003304046
ENSOCUG00000010708	KIFC1	kinesin family member C1 	Source:HGNC Symbol;Acc:HGNC:6389	-2.434480983	2.312804287	18.32759002	1.86E-05	0.003309993
ENSOCUG00000003801				-1.220119174	2.779810395	18.28864574	1.90E-05	0.003353143
ENSOCUG00000004042	PTPRF	"protein tyrosine phosphatase, receptor type F "	Source:HGNC Symbol;Acc:HGNC:9670	1.14486045	6.79109229	18.26635086	1.92E-05	0.003367487
ENSOCUG00000029613				-6.947871334	0.837402939	18.24209154	1.95E-05	0.003385571
ENSOCUG00000016548	ROR2	receptor tyrosine kinase like orphan receptor 2 	Source:HGNC Symbol;Acc:HGNC:10257	1.259905886	2.36103116	18.21959293	1.97E-05	0.003395402
ENSOCUG00000015068	KIF23	kinesin family member 23 	Source:HGNC Symbol;Acc:HGNC:6392	-2.723689998	1.277674651	18.20876318	1.98E-05	0.003395402
ENSOCUG00000004636				-0.908491955	3.553998435	18.17522605	2.01E-05	0.00343086
ENSOCUG00000007439	NUDT15	nudix hydrolase 15 	Source:HGNC Symbol;Acc:HGNC:23063	1.197410934	1.0205761	18.13363744	2.06E-05	0.003481563
ENSOCUG00000023708				0.851490584	8.039909626	18.08897797	2.11E-05	0.003522772
ENSOCUG00000000074	HMGB2	high mobility group box 2 	Source:HGNC Symbol;Acc:HGNC:5000	-1.637251476	3.500198314	18.07305658	2.13E-05	0.003522772
ENSOCUG00000023908				-1.507815454	-0.081777506	18.06521934	2.13E-05	0.003522772
ENSOCUG00000003203	TPX2	"TPX2, microtubule nucleation factor "	Source:HGNC Symbol;Acc:HGNC:1249	-2.698634895	3.049374837	18.0575931	2.14E-05	0.003522772
ENSOCUG00000011082	EPHA1	EPH receptor A1 	Source:HGNC Symbol;Acc:HGNC:3385	0.708320167	5.406018299	17.98021744	2.23E-05	0.0036436
ENSOCUG00000023697	LRRN1	leucine rich repeat neuronal 1 	Source:HGNC Symbol;Acc:HGNC:20980	-4.149945921	0.962803629	17.90613266	2.32E-05	0.00376227
ENSOCUG00000015967	VAMP4	vesicle associated membrane protein 4 	Source:HGNC Symbol;Acc:HGNC:12645	-0.926222319	3.69461613	17.84557608	2.40E-05	0.003857493
ENSOCUG00000000272	EMC1	ER membrane protein complex subunit 1 	Source:HGNC Symbol;Acc:HGNC:28957	0.690190588	5.735096078	17.80313652	2.45E-05	0.00391186
ENSOCUG00000008280	BPIFC	BPI fold containing family C 	Source:HGNC Symbol;Acc:HGNC:16503	-2.480584936	-0.049774879	17.78551388	2.47E-05	0.00391186
ENSOCUG00000000822	WNK2	WNK lysine deficient protein kinase 2 	Source:HGNC Symbol;Acc:HGNC:14542	2.637784384	-1.209629701	17.78050598	2.48E-05	0.00391186
ENSOCUG00000002928	ERC1	ELKS/RAB6-interacting/CAST family member 1 	Source:HGNC Symbol;Acc:HGNC:17072	1.21097641	4.709094084	17.76226546	2.50E-05	0.003923389
ENSOCUG00000026075				-3.301254427	-1.755030373	17.63509524	2.68E-05	0.004150161
ENSOCUG00000014003	BUB1	BUB1 mitotic checkpoint serine/threonine kinase 	Source:HGNC Symbol;Acc:HGNC:1148	-2.920483435	0.767645314	17.63035002	2.68E-05	0.004150161
ENSOCUG00000011027	CHIT1	chitinase 1 	Source:HGNC Symbol;Acc:HGNC:1936	-2.708239252	0.221031447	17.57871913	2.76E-05	0.004236688
ENSOCUG00000005620	NRXN1	neurexin 1 	Source:HGNC Symbol;Acc:HGNC:8008	0.835244588	3.81872413	17.55844034	2.79E-05	0.004239532
ENSOCUG00000011932	SEL1L	SEL1L ERAD E3 ligase adaptor subunit 	Source:HGNC Symbol;Acc:HGNC:10717	1.166103578	4.934038684	17.55072598	2.80E-05	0.004239532
ENSOCUG00000002358	ARHGAP30	Rho GTPase activating protein 30 	Source:HGNC Symbol;Acc:HGNC:27414	1.709146987	4.371152016	17.54075687	2.81E-05	0.004239532
ENSOCUG00000016513	TBC1D2	TBC1 domain family member 2 	Source:HGNC Symbol;Acc:HGNC:18026	1.371340779	1.696002168	17.51808653	2.85E-05	0.004263229
ENSOCUG00000024802				-1.831878868	-0.442140296	17.46620912	2.92E-05	0.004353607
ENSOCUG00000028024				-11.04232725	3.415013992	17.43750628	2.97E-05	0.004392216
ENSOCUG00000000930	KIF15	kinesin family member 15 	Source:HGNC Symbol;Acc:HGNC:17273	-2.135705839	1.483619843	17.39724825	3.03E-05	0.004434125
ENSOCUG00000017117	B2M	beta-2-microglobulin 	Source:HGNC Symbol;Acc:HGNC:914	-0.990616613	10.31009197	17.39584254	3.03E-05	0.004434125
ENSOCUG00000010249	UBE2T	ubiquitin conjugating enzyme E2 T 	Source:HGNC Symbol;Acc:HGNC:25009	-3.120162738	0.683542748	17.37801092	3.06E-05	0.004439286
ENSOCUG00000007648	TXK	TXK tyrosine kinase 	Source:HGNC Symbol;Acc:HGNC:12434	2.815481373	-1.632497121	17.37031076	3.08E-05	0.004439286
ENSOCUG00000005911	COMMD10	COMM domain containing 10 	Source:HGNC Symbol;Acc:HGNC:30201	-0.850644719	5.978065593	17.34222177	3.12E-05	0.004478079
ENSOCUG00000027426	GXYLT1	glucoside xylosyltransferase 1 	Source:HGNC Symbol;Acc:HGNC:27482	1.354498902	1.307073622	17.28977382	3.21E-05	0.004478231
ENSOCUG00000013237	AASS	aminoadipate-semialdehyde synthase 	Source:HGNC Symbol;Acc:HGNC:17366	0.947046492	7.051548522	17.28746959	3.21E-05	0.004478231
ENSOCUG00000001555		angiotensin-converting enzyme isoform 1 precursor  	Source:RefSeq peptide;Acc:NP_001075864	2.096691679	0.019412876	17.28285628	3.22E-05	0.004478231
ENSOCUG00000028136				-7.51599724	4.532513025	17.2809898	3.22E-05	0.004478231
ENSOCUG00000024515	OS9	"OS9, endoplasmic reticulum lectin "	Source:HGNC Symbol;Acc:HGNC:16994	0.728323962	7.631716551	17.27062699	3.24E-05	0.004478231
ENSOCUG00000008012				-3.096277463	1.111000917	17.26715894	3.25E-05	0.004478231
ENSOCUG00000022040				0.945716114	5.463566523	17.2632043	3.25E-05	0.004478231
ENSOCUG00000023503				1.819123054	2.445772102	17.19541373	3.37E-05	0.004614081
ENSOCUG00000015713	TMEM132A	transmembrane protein 132A 	Source:HGNC Symbol;Acc:HGNC:31092	1.035433091	3.270887807	17.09773658	3.55E-05	0.00482116
ENSOCUG00000022221				1.636946822	2.03818628	17.09019263	3.56E-05	0.00482116
ENSOCUG00000007868	MTX3	metaxin 3 	Source:HGNC Symbol;Acc:HGNC:24812	2.089671559	0.123834899	17.02833335	3.68E-05	0.004949399
ENSOCUG00000024091	SLC22A8	solute carrier family 22 member 8 	Source:HGNC Symbol;Acc:HGNC:10972	-1.764231625	0.688893691	17.01544117	3.71E-05	0.004949399
ENSOCUG00000002926	DLGAP5	DLG associated protein 5 	Source:HGNC Symbol;Acc:HGNC:16864	-2.752702909	1.629790059	17.00806463	3.72E-05	0.004949399
ENSOCUG00000021958	RNF212B	ring finger protein 212B 	Source:HGNC Symbol;Acc:HGNC:20438	4.088548193	-2.45592881	16.99398111	3.75E-05	0.004958391
ENSOCUG00000000872	MGAM2	maltase-glucoamylase 2 (putative) 	Source:HGNC Symbol;Acc:HGNC:28101	4.473544172	-1.517955616	16.96194925	3.81E-05	0.005014741
ENSOCUG00000017504	SYT9	synaptotagmin 9 	Source:HGNC Symbol;Acc:HGNC:19265	-2.226266466	-0.641859965	16.93638666	3.87E-05	0.005054641
ENSOCUG00000000032	NUGGC	"nuclear GTPase, germinal center associated "	Source:HGNC Symbol;Acc:HGNC:33550	1.550139254	2.521548646	16.87157593	4.00E-05	0.005201466
ENSOCUG00000022868				5.365140426	-0.464237471	16.84725094	4.05E-05	0.005220557
ENSOCUG00000006974	CALML4	calmodulin like 4 	Source:HGNC Symbol;Acc:HGNC:18445	-1.517142624	2.713144011	16.8438798	4.06E-05	0.005220557
ENSOCUG00000006527				-2.672260273	1.512285156	16.81326756	4.12E-05	0.005276772
ENSOCUG00000008129	SHANK2	SH3 and multiple ankyrin repeat domains 2 	Source:HGNC Symbol;Acc:HGNC:14295	1.36138063	2.922947466	16.77276007	4.21E-05	0.005308692
ENSOCUG00000003399	HMGN3	high mobility group nucleosomal binding domain 3 	Source:HGNC Symbol;Acc:HGNC:12312	-1.098091339	2.732166183	16.76649186	4.23E-05	0.005308692
ENSOCUG00000017757				0.991516128	2.187474088	16.76437491	4.23E-05	0.005308692
ENSOCUG00000011016				-1.841551573	5.923387863	16.75705411	4.25E-05	0.005308692
ENSOCUG00000008476	PLK1	polo like kinase 1 	Source:HGNC Symbol;Acc:HGNC:9077	-1.860362993	2.638999474	16.75121924	4.26E-05	0.005308692
ENSOCUG00000021965	TMEM150C	transmembrane protein 150C 	Source:HGNC Symbol;Acc:HGNC:37263	1.106481996	2.498572509	16.68327445	4.42E-05	0.00547345
ENSOCUG00000013516	YPEL5	yippee like 5 	Source:HGNC Symbol;Acc:HGNC:18329	-1.287519331	5.98777282	16.66084766	4.47E-05	0.005509697
ENSOCUG00000005942	KIF13B	kinesin family member 13B 	Source:HGNC Symbol;Acc:HGNC:14405	0.820485699	5.286344658	16.62929351	4.54E-05	0.005573093
ENSOCUG00000005658	PDZRN4	PDZ domain containing ring finger 4 	Source:HGNC Symbol;Acc:HGNC:30552	3.272749271	-1.968654861	16.61791478	4.57E-05	0.005577728
